route_id,scenario_type,status,score_composed,score_penalty,score_route,duration_game,duration_system,num_infractions
RouteScenario_24211_rep0,DynamicObjectCrossing,Failed - Agent got blocked,61.656452,0.63583,96.97,210.55,68.121,5
RouteScenario_24224_rep0,DynamicObjectCrossing,Failed - Agent got blocked,51.802006,0.534207,96.97,210.55,53.1,5
RouteScenario_24330_rep0,HardBreakRoute,Failed - Agent got blocked,34.758239,0.362027,96.01,239.05,125.8,6
RouteScenario_24340_rep0,ControlLoss,Failed - Agent got blocked,39.334833,0.409695,96.01,211.25,59.095,6
RouteScenario_24781_rep0,HardBreakRoute,Failed - Agent got blocked,49.416609,0.510081,96.88,361.35,197.069,5
RouteScenario_24784_rep0,ControlLoss,Failed - Agent got blocked,62.724258,0.652562,96.12,228.1,123.371,5
RouteScenario_24841_rep0,ControlLoss,Failed - Agent got blocked,69.918827,0.715575,97.71,286.35,77.162,5
RouteScenario_26406_rep0,HardBreakRoute,Failed - Agent got blocked,35.030581,0.358369,97.75,343.85,133.23,6
RouteScenario_26456_rep0,HardBreakRoute,Completed,67.943241,0.679432,100.0,82.4,23.054,5
RouteScenario_26944_rep0,OppositeVehicleRunningRedLight,Failed - Agent got blocked,31.698282,0.332372,95.37,243.6,126.187,4
RouteScenario_26950_rep0,OppositeVehicleRunningRedLight,Failed - Agent timed out,94.78,1.0,94.78,389.15,195.187,1
RouteScenario_26956_rep0,SignalizedJunctionRightTurn,Failed - Agent got blocked,56.18279,0.594024,94.58,201.25,61.119,3
RouteScenario_26966_rep0,SignalizedJunctionRightTurn,Failed - Agent got blocked,56.904,0.6,94.84,197.85,108.598,2
