route_id,scenario_type,status,score_composed,score_penalty,score_route,duration_game,duration_system,num_infractions
RouteScenario_24240_rep0,Accident,Failed - Agent timed out,4.806913,0.049045,98.01,418.05,324.635,10
RouteScenario_24367_rep0,ConstructionObstacle,Failed - Agent got blocked,12.559249,0.127518,98.49,442.35,366.136,8
RouteScenario_24785_rep0,ConstructionObstacle,Completed,18.476917,0.184769,100.0,268.3,237.147,7
RouteScenario_24795_rep0,ConstructionObstacle,Failed - Agent got blocked,13.03416,0.132206,98.59,443.05,290.468,8
RouteScenario_24816_rep0,Accident,Failed - Agent timed out,3.663899,0.037235,98.4,417.85,333.602,10
RouteScenario_25857_rep0,AccidentTwoWays,Failed - Agent got blocked,27.280888,0.277104,98.45,436.75,215.303,6
RouteScenario_27494_rep0,BlockedIntersection,Failed - Agent got blocked,58.088329,0.59468,97.68,207.1,153.533,4
